CODIGO_COMPANIA;CODIGO_RAMO_EMISION;NOMBRE_RAMO_EMISION;CODIGO_RAMO_CONTABLE;NOMBRE_RAMO_CONTABLE;CODIGO_RAMO_SCF;CONCATENAR CODRAMO_CODPROD_RAMO;CODIGO_PRODUCTO;AGRUP SISTEMA PLANEACIÓN;LN PLANEACIÓN;NOMBRE_PRODUCTO;Vigente;Comercializa;Cobertura genera Prima;Linea_negocio;CODIGO_COBERTURA;NOMBRE_COBERTURA;CLASIFICACIÓN COBERTURA VRT NIVEL 1;CLASIFICACIÓN COBERTURA VRT NIVEL 2;Nombre Productos Planeación;Cálculo RPND-SOP;RSA en maestro;IBNR;Reserva Enfermedad Profesional;Desviación de siniestralidad;Matemática;Insuficiencia activos
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;198;MAREMOTO DINEROS;CAT- Nat;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;1;INCENDIO EDIFICIO;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;3;INCENDIO MAQUINARIAS;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;18;REPOSICION DE ARCHIVO;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;22;EXPLOSION EDIFICIO;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;46;MERCANCIAS FLOTANTES;Daño a bienes;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;68;MAREMOTO EDIFICIO;CAT- Nat;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;80;AMPAROS ADICIONALES;N/A;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;191;DINEROS;Daño /Perjuicio patrimonial y extrapatrimonial;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
3;5;INCENDIO;5;INCENDIO;7;5_1;1;Otros;Empresas;INCENDIO TRADICIONAL;si;si;Si;Empresas;38;DINEROS;Daño /Perjuicio patrimonial y extrapatrimonial;NA;Incendio Tradicional;1;1;Grupo Incendio;NA;NA;NA;NA
